GCP label, GCP measured X, GCP measured Y, GCP measured Z, GCP estimated X, GCP estimated Y, GCP estimated Z, GCP weight, GCP visible in # images
14, 650118.95128615188878029585, 426877.29559585079550743103, 125.12399999999999522515, 650118.95128615188878029585, 426877.29559585079550743103, 125.12399999999999522515, 0.99999984250392559559, 0
13, 650139.12591419811360538006, 426870.24920944118639454246, 125.50100000000000477485, 650139.12591419811360538006, 426870.24920944118639454246, 125.50100000000000477485, 0.99999984250392559559, 0
12, 650130.62530102836899459362, 426872.34334105812013149261, 125.46899999999999408828, 650130.62530102836899459362, 426872.34334105812013149261, 125.46899999999999408828, 0.99999984250392559559, 0
F11, 650145.94639480230398476124, 428944.23791721177985891700, 124.68299999999999272404, 650145.94639480230398476124, 428944.23791721177985891700, 124.68299999999999272404, 0.99999984250392559559, 0
F15, 650076.27583899779710918665, 428444.42977429548045620322, 128.33400000000000318323, 650076.27583899779710918665, 428444.42977429548045620322, 128.33400000000000318323, 0.99999984250392559559, 0
F12, 650076.28444906556978821754, 428444.44401065632700920105, 128.33199999999999363354, 650076.28444906556978821754, 428444.44401065632700920105, 128.33199999999999363354, 0.99999984250392559559, 0
F40, 650364.07047296478413045406, 422174.40613083628704771399, 139.83799999999999386091, 650364.07047296478413045406, 422174.40613083628704771399, 139.83799999999999386091, 0.99999984250392559559, 0
F22A, 650427.50150121957994997501, 421765.98781691119074821472, 141.94399999999998840394, 650427.50150121957994997501, 421765.98781691119074821472, 141.94399999999998840394, 0.99999984250392559559, 0
F22, 650415.48762501636520028114, 421821.25936946651199832559, 142.48500000000001364242, 650415.48762501636520028114, 421821.25936946651199832559, 142.48500000000001364242, 0.99999984250392559559, 0
F25, 650631.47103947715368121862, 420082.00332412030547857285, 146.30099999999998772182, 650631.47103947715368121862, 420082.00332412030547857285, 146.30099999999998772182, 0.99999984250392559559, 0
F24, 650643.66172264749184250832, 420087.98124942561844363809, 146.34299999999998931344, 650643.66172264749184250832, 420087.98124942561844363809, 146.34299999999998931344, 0.99999984250392559559, 0
F23, 650586.58056212251540273428, 420595.72983218077570199966, 145.27400000000000090949, 650586.58056212251540273428, 420595.72983218077570199966, 145.27400000000000090949, 0.99999984250392559559, 0
F41, 650339.48608408402651548386, 422441.61725624371320009232, 138.38900000000001000444, 650339.48608408402651548386, 422441.61725624371320009232, 138.38900000000001000444, 0.99999984250392559559, 0
F18, 650321.66395987267605960369, 425060.00255866348743438721, 134.93000000000000682121, 650321.66395987267605960369, 425060.00255866348743438721, 134.93000000000000682121, 0.99999984250392559559, 0
F19, 650321.13846003811340779066, 424754.92070025211432948709, 134.78399999999999181455, 650321.13846003811340779066, 424754.92070025211432948709, 134.78399999999999181455, 0.99999984250392559559, 0
F19.2, 650205.05771705694496631622, 423393.67967938998481258750, 135.51499999999998635758, 650205.05771705694496631622, 423393.67967938998481258750, 135.51499999999998635758, 0.99999984250392559559, 0
F19.1, 650161.80631440482102334499, 423963.81950473511824384332, 135.00000000000000000000, 650161.80631440482102334499, 423963.81950473511824384332, 135.00000000000000000000, 0.99999984250392559559, 0
F13, 650089.84373164386488497257, 428126.95997379807522520423, 126.25999999999999090505, 650089.84373164386488497257, 428126.95997379807522520423, 126.25999999999999090505, 0.99999984250392559559, 0
F14, 650115.16476339695509523153, 427424.64374432340264320374, 123.51099999999999567990, 650115.16476339695509523153, 427424.64374432340264320374, 123.51099999999999567990, 0.99999984250392559559, 0
F16, 650152.49180015968158841133, 426408.15382781811058521271, 127.56499999999999772626, 650152.49180015968158841133, 426408.15382781811058521271, 127.56499999999999772626, 0.99999984250392559559, 0
F17, 650215.58442632830701768398, 425808.19604336557677015662, 131.65199999999998681233, 650215.58442632830701768398, 425808.19604336557677015662, 131.65199999999998681233, 0.99999984250392559559, 0
N1, 650510.41000000003259629011, 436339.96000000002095475793, 107.13999999999998635758, 650510.41066973027773201466, 436339.95038358605233952403, 107.09970032835383335623, 1.00000000000000000000, 19
N2, 650498.01000000000931322575, 436343.42999999999301508069, 107.15000000000000568434, 650498.01193588343448936939, 436343.42808857606723904610, 107.14722747401555125180, 0.99999984000657171634, 22
N3, 650804.40000000002328306437, 435562.08000000001629814506, 105.26999999999998181011, 650804.40123176062479615211, 435562.08046114759054034948, 105.26800299416142081554, 0.99999984165541855319, 17
N4, 650749.78000000002793967724, 434198.67999999999301508069, 107.56999999999999317879, 650749.77702232159208506346, 434198.68236743332818150520, 107.57306045842516084576, 0.99999983815621573680, 16
N5, 650747.96999999997206032276, 434029.89000000001396983862, 108.90999999999999658939, 650747.98904315044637769461, 434029.92341482569463551044, 108.98936661977552375902, 1.00000000000000000000, 23
N6, 650737.21999999997206032276, 434023.92999999999301508069, 108.97999999999998976818, 650737.22189790976699441671, 434023.92845220217714086175, 108.98095904013527501775, 0.99999984098051097892, 22
N7, 650605.44999999995343387127, 432883.09999999997671693563, 110.64000000000000056843, 650605.47177133522927761078, 432883.15701346093555912375, 110.65649332231666335247, 1.00000000000000000000, 15
N8, 650469.32999999995809048414, 431641.52000000001862645149, 111.79000000000000625278, 650469.32982300699222832918, 431641.52330840466311201453, 111.79376094155182386203, 0.99999983890480326210, 24
N9, 650457.79000000003725290298, 431630.84999999997671693563, 111.75000000000001421085, 650457.80962295364588499069, 431630.87761761812726035714, 111.78385465570086410025, 1.00000000000000000000, 22
M1, 650628.94200000003911554813, 433102.09600000001955777407, 111.56699999999997885425, 650628.97399186121765524149, 433102.08543611248023808002, 111.53362070741755474046, 1.00000000000000000000, 10
