imageName longitude latitude altitude Omega Phi Kappa
100_0154_0096.JPG 21.17900402 51.72881805 211.89279517 -1.04363887 -0.61892918 -3.74974195
100_0154_0097.JPG 21.17905260 51.72903194 211.85932991 -1.06071882 -0.64053673 -3.52163358
100_0154_0098.JPG 21.17910440 51.72924926 211.88688477 -1.04635419 -0.70459207 -2.89817326
100_0154_0099.JPG 21.17915568 51.72946198 211.91331753 -0.99490685 -0.77175258 -2.27846913
100_0154_0100.JPG 21.17920750 51.72967672 211.88094589 -0.95833838 -0.78931569 -1.91418989
100_0154_0101.JPG 21.17925825 51.72988882 211.87296850 -0.96694387 -0.80646634 -1.74334857
100_0154_0102.JPG 21.17930925 51.73010465 211.90271277 -0.95220109 -0.81424656 -1.21950483
100_0154_0103.JPG 21.17936047 51.73031840 211.93471943 -0.94348256 -0.84400517 -0.89915334
100_0154_0104.JPG 21.17941173 51.73053150 211.96947563 -0.93728163 -0.84802451 -0.60145003
100_0154_0105.JPG 21.17946136 51.73074378 211.93906519 -0.93477878 -0.86501216 -0.27441086
100_0154_0106.JPG 21.17950761 51.73090971 211.94480665 -0.93354342 -0.85548310 1.57529504
100_0154_0107.JPG 21.17959122 51.73090777 211.88152904 -1.02018601 0.00874544 -84.27511057
100_0154_0108.JPG 21.17986690 51.73089351 211.98777689 -0.87990991 0.43043874 -92.47900687
100_0154_0109.JPG 21.18003988 51.73085735 212.02939029 -0.61891607 0.79977882 -104.69437321
100_0154_0110.JPG 21.18001226 51.73075189 211.77839967 0.38080501 0.57703636 -178.84130571
100_0154_0111.JPG 21.17996068 51.73057780 211.82457047 0.61509397 0.45075838 176.60138786
100_0154_0112.JPG 21.17991829 51.73036085 211.86026104 0.82071134 0.43158001 176.00151347
100_0154_0113.JPG 21.17986857 51.73014710 211.87091277 0.98599867 0.36096403 174.36753685
100_0154_0114.JPG 21.17981748 51.72993056 211.88886211 1.02349002 0.31806829 174.29881943
100_0154_0115.JPG 21.17976750 51.72971726 211.85713133 1.09581931 0.36960912 173.55258033
100_0154_0116.JPG 21.17971639 51.72950493 211.86030545 1.12580459 0.36758991 173.24687763
100_0154_0117.JPG 21.17966497 51.72929040 211.91863814 1.16578534 0.32746748 173.08104601
100_0154_0118.JPG 21.17961439 51.72907651 211.91951468 1.20057847 0.30305152 172.47349147
100_0154_0119.JPG 21.17956266 51.72886254 211.91909946 1.22291394 0.31249976 172.55470263
100_0154_0120.JPG 21.17951179 51.72864671 211.92224807 1.27161665 0.29297467 172.32545206
100_0154_0121.JPG 21.17946200 51.72843386 211.92320996 1.25954086 0.25253299 172.09808536
100_0154_0122.JPG 21.17941191 51.72821834 211.94448449 1.25987068 0.23007289 171.76563104
100_0154_0123.JPG 21.17936018 51.72800424 211.92077204 1.27786848 0.18658340 171.26570944
100_0154_0124.JPG 21.17931019 51.72779050 211.93366154 1.26368272 0.15924155 171.38084064
100_0154_0125.JPG 21.17925966 51.72757557 211.91981246 1.26924424 0.12264575 170.89180101
100_0154_0126.JPG 21.17920790 51.72736364 211.87064219 1.25151643 0.12216623 170.27039496
100_0154_0127.JPG 21.17915766 51.72715193 211.86470065 1.21801274 0.15208244 170.84120134
100_0154_0128.JPG 21.17910661 51.72693587 211.93751617 1.12439916 0.17450164 170.43118739
100_0154_0129.JPG 21.17905835 51.72672106 211.90104681 1.08101177 0.21365394 170.64385887
100_0154_0130.JPG 21.17901027 51.72650739 211.97769506 1.08249698 0.19361941 169.66830877
100_0154_0131.JPG 21.17895991 51.72629192 211.96627864 1.11065766 0.22953534 169.55131365
100_0154_0132.JPG 21.17890651 51.72607560 211.95752412 1.11801668 0.23292274 169.52016846
100_0154_0133.JPG 21.17885425 51.72586379 211.90374636 1.08746354 0.27413424 170.05719360
100_0154_0134.JPG 21.17880208 51.72565256 211.90534010 1.08489974 0.30792655 170.42651152
100_0154_0135.JPG 21.17875138 51.72543901 211.84253573 1.07436525 0.32905166 170.09950612
100_0154_0136.JPG 21.17870121 51.72522591 211.88046804 1.06481192 0.34966449 170.57599349
100_0154_0137.JPG 21.17865055 51.72501253 211.88634428 1.07857448 0.37603680 170.86483905
100_0154_0138.JPG 21.17859931 51.72479818 211.90239621 1.04487889 0.38277788 171.07700937
100_0154_0139.JPG 21.17854964 51.72458301 211.94248470 1.05336838 0.37861070 171.42091004
100_0154_0140.JPG 21.17850058 51.72436837 211.88068918 0.99651939 0.36971095 171.75578675
100_0154_0141.JPG 21.17845008 51.72415670 211.92393524 0.99122006 0.35428103 171.57653981
100_0154_0142.JPG 21.17839734 51.72394063 211.92502808 0.96293036 0.36277228 171.93238867
100_0154_0143.JPG 21.17834670 51.72372754 211.91769938 0.96867540 0.38756173 172.33170845
100_0154_0144.JPG 21.17829460 51.72351170 211.90768100 0.94911362 0.41368137 172.47205481
100_0154_0145.JPG 21.17824438 51.72329993 211.85817581 0.93115742 0.42471993 172.67918937
100_0154_0146.JPG 21.17819434 51.72308480 211.87082479 0.89834791 0.41712906 173.25323889
100_0154_0147.JPG 21.17814470 51.72287096 211.88531866 0.84744347 0.41161071 173.12782550
100_0154_0148.JPG 21.17809290 51.72265676 211.88742833 0.83282918 0.40671915 173.33040060
100_0154_0149.JPG 21.17804200 51.72244235 211.88322978 0.83093166 0.41961650 173.46000715
100_0154_0150.JPG 21.17799173 51.72223007 211.88661047 0.85778446 0.40672527 173.76255096
100_0154_0151.JPG 21.17794027 51.72201507 211.89985268 0.84825289 0.39238606 174.17155358
100_0154_0152.JPG 21.17789011 51.72180118 211.87709417 0.83447857 0.38613254 174.02276483
100_0154_0153.JPG 21.17784036 51.72158873 211.86268701 0.83376258 0.39981400 174.00412380
