filename,bandname,wavelength,time,sunsensor_sun_angle_degree,sunsensor_nadir_angle_degree,sun_irradiance
100_0154_0030.JPG,Red,660.000000,1606824507.000000,,,
100_0154_0030.JPG,Green,550.000000,1606824507.000000,,,
100_0154_0030.JPG,Blue,470.000000,1606824507.000000,,,
100_0154_0031.JPG,Red,660.000000,1606824510.000000,,,
100_0154_0031.JPG,Green,550.000000,1606824510.000000,,,
100_0154_0031.JPG,Blue,470.000000,1606824510.000000,,,
100_0154_0032.JPG,Red,660.000000,1606824512.000000,,,
100_0154_0032.JPG,Green,550.000000,1606824512.000000,,,
100_0154_0032.JPG,Blue,470.000000,1606824512.000000,,,
100_0154_0033.JPG,Red,660.000000,1606824515.000000,,,
100_0154_0033.JPG,Green,550.000000,1606824515.000000,,,
100_0154_0033.JPG,Blue,470.000000,1606824515.000000,,,
100_0154_0034.JPG,Red,660.000000,1606824518.000000,,,
