100_0202_0002,5,1284.1397,992.1858
100_0202_0003,5,1287.4907,1902.1219
100_0202_0004,5,1275.3943,2801.5636
100_0202_0099,5,2804.1625,69.7637
100_0202_0100,5,2751.3875,974.7281
100_0202_0101,5,2684.0106,1885.3972
100_0202_0102,5,2616.4728,2755.7579
100_0202_0103,5,3651.6703,2566.0697
100_0202_0104,5,3945.2611,2606.0184
100_0202_0105,5,3967.1737,3092.4429
100_0202_0106,5,4084.0279,1000.4482
100_0202_0107,5,4081.0704,1726.9077
100_0202_0108,5,4209.3955,2540.1922
100_0202_0109,5,4216.6575,3508.7881
100_0212_0051,5,1264.2499,142.4474
100_0212_0052,5,1387.7174,497.711
100_0212_0053,5,3870.1458,759.4068
100_0212_0054,5,3946.6218,1602.2685
100_0212_0055,5,3132.9148,3157.1678
100_0220_0093,5,4035.8293,159.1225
100_0220_0094,5,4015.9593,448.9184
DJI_0269,5,821.1129,95.8268
100_0237_0036,4,1475.9931,431.7624
100_0237_0037,4,1473.7118,1336.0104
100_0237_0038,4,1478.6688,2201.5751
100_0237_0039,4,1488.4219,3106.6102
100_0237_0070,4,2449.2499,868.5728
100_0237_0071,4,2542.6231,1736.8286
100_0237_0072,4,2599.9092,2601.6913
100_0237_0073,4,2657.6327,3466.7634
100_0251_0032,4,4234.8702,11.182
100_0251_0033,4,4208.1326,878.0134
100_0251_0034,4,4165.2199,1746.7816
100_0251_0035,4,4112.4294,2585.1853
100_0251_0036,4,4073.0445,3404.3261
DJI_0254,4,3132.9791,296.6556
DJI_0255,4,3206.0023,872.6665
DJI_0256,4,3360.7324,1842.572
DJI_0257,4,3568.2396,3326.573
100_0154_0010,11,1287.6469,340.5836
100_0154_0011,11,1266.8185,1231.3894
100_0154_0012,11,1245.601,2117.9326
100_0154_0013,11,1227.8951,3034.9825
100_0154_0095,11,2802.6729,544.8946
100_0154_0096,11,2755.2892,1436.6285
100_0154_0097,11,2712.0299,2320.659
100_0154_0098,11,2643.0772,3213.0198
100_0154_0118,11,4044.0776,786.1691
100_0154_0119,11,4047.7805,1677.4378
100_0154_0120,11,4057.5702,2557.8711
100_0154_0121,11,4077.0779,3420.8591
DJI_0269,11,1475.4839,204.4829
100_0154_0010,10,1464.7429,645.0599
100_0154_0011,10,1443.1292,1537.7572
100_0154_0012,10,1422.9075,2425.4735
100_0154_0013,10,1406.8833,3343.1783
100_0154_0095,10,2634.529,228.9204
100_0154_0096,10,2587.565,1124.2551
100_0154_0097,10,2546.0704,2011.0163
100_0154_0098,10,2481.0455,2905.2049
100_0154_0117,10,4238.4138,209.6867
100_0154_0118,10,4229.3279,1086.5617
100_0154_0119,10,4231.6245,1975.1726
100_0154_0120,10,4241.547,2851.8299
DJI_0269,10,1478.7486,204.4364
100_0162_0038,9,1538.0195,62.8568
100_0162_0039,9,1598.8971,969.97
100_0162_0040,9,1681.5611,1856.9245
100_0162_0041,9,1764.0667,2754.7433
100_0162_0042,9,1809.5731,3616.3334
100_0162_0063,9,2314.9365,893.2576
100_0162_0064,9,2357.8211,1779.5559
100_0162_0065,9,2402.0603,2664.1395
100_0162_0066,9,2430.5173,3543.3836
100_0162_0143,9,4360.2447,545.9362
100_0162_0144,9,4368.8394,1424.2769
100_0162_0145,9,4381.5084,2325.1759
100_0162_0146,9,4370.246,3177.7321
DJI_0163,9,3106.2509,259.8257
DJI_0164,9,3118.3854,494.6312
DJI_0165,9,3130.3683,792.8288
DJI_0166,9,3071.7641,1279.7902
DJI_0167,9,2972.9054,1821.4694
DJI_0168,9,2883.7237,2441.3222
DJI_0269,9,1421.0854,192.8819
100_0162_0039,8,1199.2286,784.8236
100_0162_0040,8,1285.2435,1680.4899
100_0162_0041,8,1368.1977,2593.3988
100_0162_0042,8,1418.7896,3458.6307
100_0162_0062,8,2643.0937,165.519
100_0162_0063,8,2690.8705,1076.5765
100_0162_0064,8,2731.711,1969.4105
100_0162_0065,8,2775.4677,2857.29
100_0162_0143,8,4006.0659,331.9106
100_0162_0144,8,4014.2928,1224.9883
100_0162_0145,8,4029.598,2134.4573
100_0162_0146,8,4021.2953,2993.7113
DJI_0163,8,3249.5663,297.3444
DJI_0164,8,3280.8657,541.4975
DJI_0165,8,3314.2989,854.1284
DJI_0166,8,3288.7881,1369.2815
DJI_0167,8,3224.744,1948.3256
DJI_0168,8,3173.515,2621.4958
DJI_0269,8,1412.4624,193.7922
DJI_0269,15,1649.6493,255.4467
DJI_0270,15,1659.4274,6.5174
DJI_0269,14,1665.4893,252.4479
DJI_0270,14,1675.5594,3.3423
DJI_0269,13,1656.5092,252.52
DJI_0270,13,1666.3871,3.4288
DJI_0269,12,1660.2903,252.5519
DJI_0270,12,1670.25,3.4579
DJI_0269,F11,1675.7825,241.9193
DJI_0269,F15,1706.2706,247.4264
DJI_0269,F12,1706.2662,247.4252
DJI_0269,F40,1561.754,268.1373
DJI_0270,F40,1569.9005,19.9781
DJI_0269,F22A,1543.4899,269.1215
DJI_0270,F22A,1551.2754,21.0345
DJI_0269,F22,1546.9423,269.2579
DJI_0270,F22,1554.8012,21.1736
DJI_0269,F25,1492.58,271.6912
DJI_0270,F25,1499.3698,23.7972
DJI_0269,F24,1489.3147,271.654
DJI_0270,F24,1496.0373,23.7618
DJI_0269,F23,1502.2707,270.9867
DJI_0270,F23,1509.2444,23.0447
DJI_0269,F41,1569.0626,267.3714
DJI_0270,F41,1577.3476,19.1641
DJI_0269,F18,1575.0389,261.0667
DJI_0270,F18,1583.3322,12.5204
DJI_0269,F19,1575.1388,261.749
DJI_0270,F19,1583.4473,13.239
DJI_0269,F19.2,1612.878,265.3873
DJI_0270,F19.2,1622.0454,17.0249
DJI_0269,F19.1,1629.5025,264.3176
DJI_0270,F19.1,1639.0016,15.879
DJI_0269,F13,1694.2324,247.7966
DJI_0269,F14,1672.8188,249.4645
DJI_0270,F14,1682.9983,0.1921
DJI_0269,F16,1647.0764,255.0341
DJI_0270,F16,1656.7932,6.0865
DJI_0269,F17,1617.7803,258.3082
DJI_0270,F17,1626.9266,9.5667
