100_0260_0031,N2,2212.8207,959.9285
100_0260_0032,N2,2709.9546,1550.2466
100_0260_0033,N2,2722.0918,2055.8382
100_0260_0034,N1,2873.8119,2659.3665
100_0260_0034,N2,2483.2079,2417.9786
100_0260_0035,N1,2857.0535,3467.7081
100_0260_0035,N2,2493.1081,3238.4249
100_0260_0092,N1,3890.2997,199.2402
100_0260_0092,N2,4221.9060,472.3033
100_0260_0093,N1,3918.3073,1001.3393
100_0260_0093,N2,4247.4864,1289.1830
100_0260_0094,N1,3903.8320,1529.0656
100_0260_0094,N2,4227.8696,1814.8526
