100_0154_0001.JPG
FC6310R_8.8_5472x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
-0.21009, 0.0291711, 0.00746299, 0.888769, -0.982934, 1, -0.00199222, 0.0635259, -0.0182525, 0.00295123, -0.0483175, 0.0076008, 0.00919216, 0.00439793
-0.0427123, 0.0145488, 0.377704, 0.00675657, 0.00041055, -0.00199222, 1, -0.00656228, 0.00731201, -0.0424237, -0.0357446, 0.193516, -0.00303476, -0.0165232
-0.0942378, 0.384589, 0.0155218, 0.0940389, -0.0735699, 0.0635259, -0.00656228, 1, 0.018522, 0.0386067, -0.0548791, -0.0247058, 0.189645, -0.0103303
0.0436317, -0.129738, -0.0147282, -0.0254808, 0.021755, -0.0182525, 0.00731201, 0.018522, 1, 0.026507, 0.0563002, -0.0925618, 0.474514, -0.0470259
-0.139923, -0.02324, 0.0195104, 0.0368198, -0.00783422, 0.00295123, -0.0424237, 0.0386067, 0.026507, 1, -0.10176, -0.518809, -0.0958953, 0.0222706
0.654074, 0.0330653, -0.0147328, -0.213227, 0.0790181, -0.0483175, -0.0357446, -0.0548791, 0.0563002, -0.10176, 1, -0.0382894, 0.152319, -0.0252573
0.0485776, 0.0158526, 0.392077, 2.57401e-05, -0.00848716, 0.0076008, 0.193516, -0.0247058, -0.0925618, -0.518809, -0.0382894, 1, 0.0738296, 0.303922
0.0484601, 0.369361, -0.00945377, -0.00332222, -0.00728794, 0.00919216, -0.00303476, 0.189645, 0.474514, -0.0958953, 0.152319, 0.0738296, 1, 0.167841
-0.008565, -0.000444553, -0.0191184, 0.00526722, -0.00485783, 0.00439793, -0.0165232, -0.0103303, -0.0470259, 0.0222706, -0.0252573, 0.303922, 0.167841, 1
100_0154_0006.JPG
FC6310R_8.8_5472x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, 0.0228164, -0.00901186, -0.463647, 0.265421, -0.21009, -0.0427123, -0.0942378, 0.0438328, -0.140048, 0.654278, 0.031595, 0.0419818, -0.0134296
0.0228164, 1, 0.0252601, 0.0285077, -0.0331333, 0.0291711, 0.0145488, 0.384589, -0.130314, -0.0235164, 0.030253, 0.00455607, 0.355208, -0.00349617
-0.00901186, 0.0252601, 1, 0.00806758, -0.00802087, 0.00746299, 0.377704, 0.0155218, -0.0144869, 0.0201456, -0.019292, 0.382407, -0.0113147, -0.011096
-0.463647, 0.0285077, 0.00806758, 1, -0.950119, 0.888769, 0.00675657, 0.0940389, -0.0258764, 0.0368706, -0.212311, 0.00390487, -5.86442e-05, 0.00357196
0.265421, -0.0331333, -0.00802087, -0.950119, 1, -0.982934, 0.00041055, -0.0735699, 0.0220757, -0.00789786, 0.0772209, -0.00946913, -0.0100137, -0.0033446
-0.21009, 0.0291711, 0.00746299, 0.888769, -0.982934, 1, -0.00199222, 0.0635259, -0.0185223, 0.00306814, -0.04598, 0.00792407, 0.0115657, 0.00288685
-0.0427123, 0.0145488, 0.377704, 0.00675657, 0.00041055, -0.00199222, 1, -0.00656228, 0.00800096, -0.0422889, -0.0377437, 0.195523, -0.00447375, -0.00897285
-0.0942378, 0.384589, 0.0155218, 0.0940389, -0.0735699, 0.0635259, -0.00656228, 1, 0.0185374, 0.0380764, -0.0555322, -0.0219109, 0.181991, -0.00696881
0.0438328, -0.130314, -0.0144869, -0.0258764, 0.0220757, -0.0185223, 0.00800096, 0.0185374, 1, 0.0269451, 0.0609711, -0.0775508, 0.438674, -0.0587425
-0.140048, -0.0235164, 0.0201456, 0.0368706, -0.00789786, 0.00306814, -0.0422889, 0.0380764, 0.0269451, 1, -0.0915417, -0.444584, -0.0765875, 0.0424337
0.654278, 0.030253, -0.019292, -0.212311, 0.0772209, -0.04598, -0.0377437, -0.0555322, 0.0609711, -0.0915417, 1, -0.0987889, 0.142012, -0.0303128
0.031595, 0.00455607, 0.382407, 0.00390487, -0.00946913, 0.00792407, 0.195523, -0.0219109, -0.0775508, -0.444584, -0.0987889, 1, 0.0392424, 0.301662
0.0419818, 0.355208, -0.0113147, -5.86442e-05, -0.0100137, 0.0115657, -0.00447375, 0.181991, 0.438674, -0.0765875, 0.142012, 0.0392424, 1, 0.191945
-0.0134296, -0.00349617, -0.011096, 0.00357196, -0.0033446, 0.00288685, -0.00897285, -0.00696881, -0.0587425, 0.0424337, -0.0303128, 0.301662, 0.191945, 1
100_0154_0007.JPG
FC6310R_8.8_5472x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, 0.0228164, -0.00901186, -0.463647, 0.265421, -0.21009, -0.0427123, -0.0942378, 0.0434568, -0.138635, 0.638343, 0.0140787, 0.0362848, -0.0178783
0.0228164, 1, 0.0252601, 0.0285077, -0.0331333, 0.0291711, 0.0145488, 0.384589, -0.128473, -0.023485, 0.031844, 0.000478334, 0.335368, -0.00579045
-0.00901186, 0.0252601, 1, 0.00806758, -0.00802087, 0.00746299, 0.377704, 0.0155218, -0.0145989, 0.0197068, -0.0197674, 0.353048, -0.00893565, -0.00758788
-0.463647, 0.0285077, 0.00806758, 1, -0.950119, 0.888769, 0.00675657, 0.0940389, -0.0259872, 0.0362438, -0.208496, 0.0110016, -0.000598296, 0.00570811
0.265421, -0.0331333, -0.00802087, -0.950119, 1, -0.982934, 0.00041055, -0.0735699, 0.022338, -0.00756628, 0.0769721, -0.0126636, -0.007684, -0.00456697
-0.21009, 0.0291711, 0.00746299, 0.888769, -0.982934, 1, -0.00199222, 0.0635259, -0.0189064, 0.0027801, -0.0462391, 0.0100793, 0.00845098, 0.00369656
-0.0427123, 0.0145488, 0.377704, 0.00675657, 0.00041055, -0.00199222, 1, -0.00656228, 0.00771981, -0.0417202, -0.0333323, 0.18403, -0.005289, -0.00395781
-0.0942378, 0.384589, 0.0155218, 0.0940389, -0.0735699, 0.0635259, -0.00656228, 1, 0.0191359, 0.0371003, -0.0530928, -0.0131742, 0.17105, -0.00239614
0.0434568, -0.128473, -0.0145989, -0.0259872, 0.022338, -0.0189064, 0.00771981, 0.0191359, 1, 0.0263434, 0.0629665, -0.068613, 0.397666, -0.0549368
-0.138635, -0.023485, 0.0197068, 0.0362438, -0.00756628, 0.0027801, -0.0417202, 0.0371003, 0.0263434, 1, -0.0805234, -0.37147, -0.0663685, 0.0606047
0.638343, 0.031844, -0.0197674, -0.208496, 0.0769721, -0.0462391, -0.0333323, -0.0530928, 0.0629665, -0.0805234, 1, -0.113325, 0.167635, -0.0210289
0.0140787, 0.000478334, 0.353048, 0.0110016, -0.0126636, 0.0100793, 0.18403, -0.0131742, -0.068613, -0.37147, -0.113325, 1, 0.00502353, 0.362957
0.0362848, 0.335368, -0.00893565, -0.000598296, -0.007684, 0.00845098, -0.005289, 0.17105, 0.397666, -0.0663685, 0.167635, 0.00502353, 1, 0.151313
-0.0178783, -0.00579045, -0.00758788, 0.00570811, -0.00456697, 0.00369656, -0.00395781, -0.00239614, -0.0549368, 0.0606047, -0.0210289, 0.362957, 0.151313, 1
100_0154_0008.JPG
FC6310R_8.8_5472x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, 0.0228164, -0.00901186, -0.463647, 0.265421, -0.21009, -0.0427123, -0.0942378, 0.0439468, -0.140665, 0.621691, 0.0023385, 0.0300731, -0.017515
0.0228164, 1, 0.0252601, 0.0285077, -0.0331333, 0.0291711, 0.0145488, 0.384589, -0.129731, -0.0237611, 0.0330998, 0.00207105, 0.317491, 0.00214928
-0.00901186, 0.0252601, 1, 0.00806758, -0.00802087, 0.00746299, 0.377704, 0.0155218, -0.0145321, 0.0193095, -0.0174385, 0.318584, -0.00267194, -0.00763016
-0.463647, 0.0285077, 0.00806758, 1, -0.950119, 0.888769, 0.00675657, 0.0940389, -0.0262585, 0.036936, -0.202283, 0.0114426, 0.0017437, 0.0053323
0.265421, -0.0331333, -0.00802087, -0.950119, 1, -0.982934, 0.00041055, -0.0735699, 0.0226485, -0.00802282, 0.0746637, -0.0098904, -0.00886541, -0.00256908
-0.21009, 0.0291711, 0.00746299, 0.888769, -0.982934, 1, -0.00199222, 0.0635259, -0.0192322, 0.00332318, -0.0451117, 0.00675451, 0.00908567, 0.00127824
-0.0427123, 0.0145488, 0.377704, 0.00675657, 0.00041055, -0.00199222, 1, -0.00656228, 0.00848649, -0.0419515, -0.0350114, 0.166418, -0.00393908, -0.00303719
-0.0942378, 0.384589, 0.0155218, 0.0940389, -0.0735699, 0.0635259, -0.00656228, 1, 0.0195362, 0.038102, -0.0521088, -0.0047294, 0.161315, 0.00579313
0.0439468, -0.129731, -0.0145321, -0.0262585, 0.0226485, -0.0192322, 0.00848649, 0.0195362, 1, 0.0273637, 0.057701, -0.0611276, 0.354425, -0.0507311
-0.140665, -0.0237611, 0.0193095, 0.036936, -0.00802282, 0.00332318, -0.0419515, 0.038102, 0.0273637, 1, -0.0872896, -0.305182, -0.0612415, 0.056495
0.621691, 0.0330998, -0.0174385, -0.202283, 0.0746637, -0.0451117, -0.0350114, -0.0521088, 0.057701, -0.0872896, 1, -0.0747529, 0.170052, -0.0091834
