x,y,z,sx,sy,sz
650665.85,433070.49,129.10,0.1446,0.0554,0.3384
650676.79,433024.61,109.61,0.2225,0.2483,0.4964
650520.07,432805.71,125.37,0.4446,0.2105,0.7853
650508.17,432625.25,123.66,0.4493,0.2406,1.0212
650573.51,432679.28,109.86,0.0207,0.0203,0.0448
650568.51,433041.00,110.17,0.1404,0.0725,0.2113
650550.77,432641.57,121.84,0.8767,0.6775,1.2239
650654.00,432620.84,126.98,0.2728,0.2065,0.5750
650663.89,433059.65,127.89,0.0645,0.0330,0.1589
650563.27,432941.03,127.70,0.3756,0.1237,0.5669
650820.94,433120.35,130.52,1.4382,1.6074,0.6694
650484.20,432427.86,121.56,0.2277,0.1322,0.3654
650483.55,432438.37,122.83,0.1575,0.0689,0.2504
650498.21,432669.48,122.24,0.2121,0.1064,0.3707
650473.76,432665.48,123.27,0.2982,0.0899,0.3574
650483.88,432636.43,124.04,0.0862,0.0354,0.1153
650568.42,432876.90,108.48,0.0323,0.7709,1.8082
650517.06,432788.89,121.76,0.7200,0.6195,1.2356
650645.22,432253.11,130.42,0.5686,0.2156,0.6880
650833.29,433143.19,132.65,1.1194,1.3190,0.4726
650738.79,433033.39,119.11,0.3101,0.3691,0.3154
650522.17,432482.27,125.01,0.0416,0.0550,0.2727
650591.81,432986.12,129.06,0.2389,0.2296,0.3219
650492.91,432462.39,109.76,0.0991,0.0536,0.2846
650499.27,432795.91,124.25,1.5017,0.8077,1.8461
650539.89,432857.23,121.23,1.4221,1.1461,4.2938
650540.26,433168.15,117.10,2.5360,5.4796,2.1223
650508.85,432482.94,124.88,0.0929,0.0787,0.3905
650692.70,432813.07,125.31,0.3844,0.2851,0.6598
650464.39,432454.87,123.56,0.2765,0.0948,0.3940
650568.41,432815.50,111.75,0.2857,0.1210,0.3642
650747.41,433044.85,118.20,0.6143,0.7407,0.5765
650693.50,432819.58,109.58,0.1006,0.0617,0.1991
650703.70,432837.46,126.26,0.1561,0.0432,0.2169
650545.73,432660.70,123.65,0.0478,0.0499,0.2101
650606.80,433169.68,128.65,0.8653,4.7776,1.5872
650703.97,432831.41,126.58,0.1264,0.0492,0.1750
650496.46,432816.85,125.44,0.9241,0.2659,1.0557
650616.23,432673.20,109.61,0.0329,0.0280,0.0657
650618.88,432662.11,109.86,0.0339,0.0282,0.0683
650687.44,432601.28,126.35,0.2809,0.0612,0.3301
650581.07,432428.08,122.85,0.1685,0.1401,0.2679
650566.51,432437.20,110.87,0.1544,0.1270,0.3662
650539.72,432669.48,123.61,0.0740,0.0870,0.3153
650752.60,433005.07,118.35,0.5693,0.4344,0.5078
650711.60,432852.58,126.07,0.5376,0.1002,0.6670
650576.38,432873.37,109.48,0.2038,0.0851,0.2945
650482.63,432445.56,124.56,0.2031,0.1338,0.3998
650524.77,432500.99,126.97,0.0777,0.2097,0.5672
650663.06,433086.68,124.64,0.1360,1.4146,0.7552
650549.52,433136.25,112.90,0.6553,1.3604,0.6260
650467.45,432515.07,123.54,0.1808,0.1347,0.2689
650603.99,432442.77,124.91,0.0451,0.0401,0.1103
650659.81,432552.95,129.19,0.1126,0.1029,0.2012
650680.57,432560.55,126.05,0.2398,0.1183,0.3108
650488.81,432476.82,124.29,0.2039,0.0706,0.4629
