imageName X Y Z Omega Phi Kappa
100_0154_0137.JPG 650426.677751 430979.899840 211.886344 1.078574 0.376037 170.864839
100_0154_0138.JPG 650423.851357 430955.965959 211.902396 1.044879 0.382778 171.077009
100_0154_0139.JPG 650421.136623 430931.944192 211.942485 1.053368 0.378611 171.420910
100_0154_0140.JPG 650418.462526 430907.982487 211.880689 0.996519 0.369711 171.755787
100_0154_0141.JPG 650415.678788 430884.347427 211.923935 0.991220 0.354281 171.576540
100_0154_0142.JPG 650412.754781 430860.219572 211.925028 0.962930 0.362772 171.932389
100_0154_0143.JPG 650409.965723 430836.426793 211.917699 0.968675 0.387562 172.331708
100_0154_0144.JPG 650407.085560 430812.325747 211.907681 0.949114 0.413681 172.472055
100_0154_0145.JPG 650404.321049 430788.680460 211.858176 0.931157 0.424720 172.679189
100_0154_0146.JPG 650401.580103 430764.661920 211.870825 0.898348 0.417129 173.253239
100_0154_0147.JPG 650398.863017 430740.788252 211.885319 0.847443 0.411611 173.127825
100_0154_0148.JPG 650395.997838 430716.870155 211.887428 0.832829 0.406719 173.330401
100_0154_0149.JPG 650393.194836 430692.929237 211.883230 0.830932 0.419617 173.460007
100_0154_0150.JPG 650390.428516 430669.227347 211.886610 0.857784 0.406725 173.762551
100_0154_0151.JPG 650387.589385 430645.221142 211.899853 0.848253 0.392386 174.171554
100_0154_0152.JPG 650384.836369 430621.340522 211.877094 0.834479 0.386133 174.022765
100_0154_0153.JPG 650382.106178 430597.620599 211.862687 0.833763 0.399814 174.004124
100_0154_0154.JPG 650379.354714 430573.339139 211.885285 0.829907 0.410976 174.296104
100_0154_0155.JPG 650376.533720 430549.646850 211.881741 0.820578 0.446384 174.353801
100_0154_0156.JPG 650373.766533 430525.749445 211.892104 0.793829 0.467104 174.103156
100_0154_0157.JPG 650370.995245 430501.644785 211.885572 0.850382 0.457428 174.170761
100_0154_0158.JPG 650368.113180 430477.735459 211.914512 0.893901 0.454011 174.163056
100_0154_0159.JPG 650365.473381 430456.276957 211.880270 1.057845 0.450421 174.236615
100_0154_0160.JPG 650363.683558 430441.041886 211.912506 1.137363 0.438184 174.274622
100_0162_0001.JPG 650567.764842 432833.282648 212.032828 0.703612 0.431658 175.873548
100_0162_0002.JPG 650565.651986 432822.253016 211.976996 0.723922 0.575446 176.060549
