imageName, cameraIndex, cameraName, X_opt, Y_opt, Z_opt, X_gps, Y_gps, Z_gps, X_acc, Y_acc, Z_acc, Omega, Phi, Kappa, X_uncertainty, Y_uncertainty, Z_uncertainty, Omega_uncertainty, Phi_uncertainty, Kappa_uncertainty, inlierProb
100_0202_0153.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650649.087743, 432884.319519, 208.940551, 650649.078528, 432884.328734, 208.937288, 0.019955, 0.019955, 0.032430, 0.975869, 0.581597, 175.035327, 0.009850, 0.009547, 0.014154, 0.006997, 0.006529, 0.007936, 0.999999
100_0202_0154.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650646.227794, 432859.916226, 209.016255, 650646.217014, 432859.925432, 208.989386, 0.017900, 0.017900, 0.031160, 0.955081, 0.576902, 174.642860, 0.009135, 0.008804, 0.013640, 0.006750, 0.006447, 0.007102, 0.999999
100_0202_0155.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650643.336342, 432835.444868, 208.998407, 650643.324813, 432835.456310, 208.968468, 0.018295, 0.018295, 0.031410, 0.972770, 0.567379, 175.183365, 0.009304, 0.009003, 0.014597, 0.007222, 0.007249, 0.008692, 0.999999
DJI_0203.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650644.007511, 432848.967024, 208.979013, 650643.994690, 432848.976554, 208.955961, 0.017755, 0.017755, 0.029960, 44.999829, -5.991149, -4.977105, 0.009161, 0.008657, 0.015428, 0.008100, 0.009637, 0.006688, 0.999999
DJI_0204.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650648.991416, 432909.585643, 209.200050, 650648.980462, 432909.595401, 209.166207, 0.017180, 0.017180, 0.029570, 44.810950, -5.367020, -4.543515, 0.008879, 0.008355, 0.015940, 0.008331, 0.011216, 0.006922, 0.999999
DJI_0205.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650651.706453, 432945.215154, 209.108317, 650651.693928, 432945.225901, 209.080516, 0.017730, 0.017730, 0.029870, 44.803287, -5.032452, -4.248996, 0.009093, 0.008607, 0.016034, 0.008889, 0.012087, 0.007533, 0.999999
DJI_0206.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650659.685403, 433048.005937, 209.031630, 650659.674748, 433048.014381, 209.009318, 0.016830, 0.016830, 0.029080, 44.888917, -4.007033, -3.257534, 0.008484, 0.007810, 0.015929, 0.009001, 0.011991, 0.007818, 0.999999
DJI_0207.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650663.673708, 433098.495955, 209.028275, 650663.662252, 433098.506066, 209.009189, 0.017085, 0.017085, 0.029280, 44.990317, -3.315188, -2.506080, 0.008942, 0.008430, 0.016237, 0.008885, 0.013080, 0.008171, 0.999999
DJI_0208.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650667.240136, 433143.438540, 209.024928, 650667.226699, 433143.449642, 208.999854, 0.017315, 0.017315, 0.029440, 45.113801, -2.422305, -1.524384, 0.008995, 0.008495, 0.016352, 0.009075, 0.013566, 0.008258, 0.999999
DJI_0209.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650670.441603, 433181.805429, 209.117808, 650670.429668, 433181.814655, 209.089277, 0.017145, 0.017145, 0.029250, 45.147009, -1.779664, -0.775151, 0.008908, 0.008408, 0.016131, 0.009567, 0.012467, 0.008705, 0.999999
